timestamp_s,uam_id,bs_id,distance_m,received_power_dbm_full_carrier,rsrp_dbm_per_re,is_serving
1411.0,UAM01,BS05,43516.84681768315,-98.02986331209168,-122.8010758592883,False
1411.0,UAM01,BS06,38577.4557646238,-96.87873888948712,-121.64995143668375,False
1411.0,UAM01,BS07,34869.02105345643,-95.91307469110546,-120.68428723830209,False
1411.0,UAM01,BS08,34503.88520170696,-95.81249609098583,-120.58370863818246,False
1411.0,UAM01,BS09,30858.600501064117,-94.74567705992644,-119.51688960712306,False
1411.0,UAM01,BS10,21672.71705728653,-91.36949403323493,-116.14070658043156,False
1411.0,UAM01,BS11,19406.77083227403,-90.31437219083502,-115.08558473803164,False
1411.0,UAM01,BS12,18350.767257075422,-89.77979308274625,-114.55100562994288,False
1411.0,UAM01,BS13,9441.95595083,-83.43076342680224,-108.20197597399887,False
1411.0,UAM01,BS14,9164.565353090904,-83.1458612827416,-107.91707382993823,False
1411.0,UAM01,BS15,5773.895108032519,-78.73171566601418,-103.50292821321081,False
1411.0,UAM01,BS16,2611.4101136107556,-71.15065188498463,-95.92186443218125,True
1411.0,UAM01,BS17,8045.791499079008,-81.90191311363769,-106.67312566083432,False
1411.0,UAM01,BS18,8497.656169521582,-82.4239814917001,-107.19519403889673,False
1412.0,UAM01,BS01,60393.92796408696,-101.16125217258497,-125.93246471978159,False
1412.0,UAM01,BS02,57607.60548969259,-100.70995620973095,-125.48116875692757,False
1412.0,UAM01,BS03,57482.09378354146,-100.68911682282342,-125.46032937002005,False
1412.0,UAM01,BS04,52966.55708238099,-99.90743845388951,-124.67865100108614,False
1412.0,UAM01,BS05,43566.5883392449,-98.04077823188591,-122.81199077908254,False
1412.0,UAM01,BS06,38627.428321525396,-96.89110758346104,-121.66232013065766,False
1412.0,UAM01,BS07,34918.81954597079,-95.9267102673836,-120.69792281458022,False
1412.0,UAM01,BS08,34553.81397710547,-95.82631188574751,-120.59752443294414,False
1412.0,UAM01,BS09,30908.561831033483,-94.7611336405494,-119.53234618774603,False
1412.0,UAM01,BS10,21722.232014450638,-91.39129794424899,-116.16251049144562,False
1412.0,UAM01,BS11,19456.587218446573,-90.33886672142991,-115.11007926862654,False
1412.0,UAM01,BS12,18400.64436584675,-89.80572678379409,-114.57693933099071,False
1412.0,UAM01,BS13,9491.923503710063,-83.48119313660003,-108.25240568379665,False
1412.0,UAM01,BS14,9214.398407533894,-83.1976737815688,-107.96888632876542,False
1412.0,UAM01,BS15,5823.6995788787835,-78.8137772812115,-103.58498982840813,False
1412.0,UAM01,BS16,2577.2796797366545,-71.02495417845076,-95.79616672564738,True
1412.0,UAM01,BS17,7997.676241913923,-81.8446041102829,-106.61581665747953,False
1412.0,UAM01,BS18,8455.277472287089,-82.37621309858649,-107.14742564578312,False
1413.0,UAM01,BS01,60440.837747551355,-101.16867054331966,-125.93988309051629,False
1413.0,UAM01,BS02,57654.83318062984,-100.71778592412764,-125.48899847132427,False
1413.0,UAM01,BS03,57529.767934120384,-100.69703777412104,-125.46825032131767,False
1413.0,UAM01,BS04,53016.02643901249,-99.91635791835255,-124.68757046554917,False
1413.0,UAM01,BS05,43616.32811352104,-98.05168031408003,-122.82289286127666,False
1413.0,UAM01,BS06,38677.40163347747,-96.90346047283415,-121.67467302003078,False
1413.0,UAM01,BS07,34968.616547947415,-95.94032600425803,-120.71153855145465,False
1413.0,UAM01,BS08,34603.74171997695,-95.84010744659331,-120.61131999378993,False
1413.0,UAM01,BS09,30958.524103420506,-94.77656554780631,-119.54777809500294,False
1413.0,UAM01,BS10,21771.746019147144,-91.41305179267223,-116.18426433986886,False
1413.0,UAM01,BS11,19506.40259328243,-90.36329812130731,-115.13451066850394,False
1413.0,UAM01,BS12,18450.52055153919,-89.83158980554603,-114.60280235274266,False
1413.0,UAM01,BS13,9541.890900292243,-83.53135791261633,-108.30257045981296,False
1413.0,UAM01,BS14,9264.231511838694,-83.24920687521025,-108.02041942240687,False
1413.0,UAM01,BS15,5873.5056668100815,-78.89514271291686,-103.66635526011349,False
1413.0,UAM01,BS16,2543.690906184286,-70.89961550872651,-95.67082805592314,True
1413.0,UAM01,BS17,7949.590459242583,-81.78698470971698,-106.5581972569136,False
1413.0,UAM01,BS18,8412.994591024742,-82.32831349999503,-107.09952604719166,False
1414.0,UAM01,BS01,60487.68913653134,-101.17607393485032,-125.94728648204695,False
1414.0,UAM01,BS02,57702.00543500508,-100.72560004811996,-125.49681259531658,False
1414.0,UAM01,BS03,57577.39082501703,-100.70494365804515,-125.47615620524178,False
1414.0,UAM01,BS04,53065.47004561191,-99.92526442761414,-124.69647697481076,False
1414.0,UAM01,BS05,43666.04967224083,-98.0625659849859,-122.83377853218252,False
1414.0,UAM01,BS06,38727.38051654527,-96.91579878635724,-121.68701133355387,False
1414.0,UAM01,BS07,35018.39751715031,-95.95391799104573,-120.72513053824235,False
1414.0,UAM01,BS08,34653.659714017245,-95.85388042907951,-120.62509297627614,False
1414.0,UAM01,BS09,31008.49307077785,-94.79197463330459,-119.56318718050122,False
1414.0,UAM01,BS10,21821.236773318116,-91.43474604365396,-116.20595859085059,False
1414.0,UAM01,BS11,19556.203239392737,-90.38766001193233,-115.15887255912895,False
1414.0,UAM01,BS12,18500.384649076066,-89.85737676473052,-114.62858931192714,False
1414.0,UAM01,BS13,9591.854661192534,-83.58125705734099,-108.35246960453762,False
1414.0,UAM01,BS14,9314.052393918366,-83.30045097237627,-108.0716635195729,False
1414.0,UAM01,BS15,5923.301403568462,-78.97580439098978,-103.7470169381864,False
1414.0,UAM01,BS16,2510.7850831042583,-70.77520996203877,-95.5464225092354,True
1414.0,UAM01,BS17,7901.5787743700575,-81.72910531775189,-106.50031786494851,False
1414.0,UAM01,BS18,8370.894963010704,-82.28038172145078,-107.0515942686474,False
1415.0,UAM01,BS01,60534.545563087166,-101.18347238933052,-125.95468493652714,False
1415.0,UAM01,BS02,57749.18244751572,-100.73340857378157,-125.5046211209782,False
1415.0,UAM01,BS03,57625.01774298871,-100.71284367333504,-125.48405622053167,False
1415.0,UAM01,BS04,53114.91469391059,-99.93416282950736,-124.70537537670398,False
1415.0,UAM01,BS05,43715.771866122646,-98.07343940649147,-122.8446519536881,False
1415.0,UAM01,BS06,38777.35945405843,-96.9281212005834,-121.69933374778003,False
1415.0,UAM01,BS07,35068.17910957078,-95.96749083944063,-120.73870338663725,False
1415.0,UAM01,BS08,34703.57794416782,-95.86763365110144,-120.63884619829807,False
1415.0,UAM01,BS09,31058.46213802106,-94.80735893837563,-119.57857148557225,False
1415.0,UAM01,BS10,21870.729844067213,-91.45639215960097,-116.22760470679759,False
1415.0,UAM01,BS11,19606.004900276206,-90.41196043738583,-115.18317298458246,False
1415.0,UAM01,BS12,18550.24947823529,-89.88309469059432,-114.65430723779095,False
1415.0,UAM01,BS13,9641.818797809983,-83.63089732486726,-108.40210987206389,False
1415.0,UAM01,BS14,9363.875185432997,-83.35142364291939,-108.12263619011601,False
1415.0,UAM01,BS15,5973.100553061374,-79.05579625562048,-103.8270088028171,False
1415.0,UAM01,BS16,2478.4511374794324,-70.65136803389088,-95.4225805810875,True
1415.0,UAM01,BS17,7853.591903420381,-81.67090335233782,-106.44211589953444,False
1415.0,UAM01,BS18,8328.882696670926,-82.2323084890083,-107.00352103620493,False
1416.0,UAM01,BS01,60581.407015529585,-101.19086591194126,-125.96207845913789,False
1416.0,UAM01,BS02,57796.36420650972,-100.74121150768629,-125.51242405488291,False
1416.0,UAM01,BS03,57672.64867805825,-100.72073782748271,-125.49195037467933,False
1416.0,UAM01,BS04,53164.3603810018,-99.94305313842263,-124.71426568561925,False
1416.0,UAM01,BS05,43765.49469300142,-98.08430060581523,-122.85551315301186,False
1416.0,UAM01,BS06,38827.338445806505,-96.94042775640132,-121.71164030359795,False
1416.0,UAM01,BS07,35117.96132255823,-95.98104460277847,-120.7522571499751,False
1416.0,UAM01,BS08,34753.49640941099,-95.88136716909254,-120.65257971628917,False
1416.0,UAM01,BS09,31108.431304668593,-94.82271854249501,-119.59393108969164,False
1416.0,UAM01,BS10,21920.22521570255,-91.47799034899481,-116.24920289619143,False
1416.0,UAM01,BS11,19655.80756821923,-90.43619970452477,-115.2074122517214,False
1416.0,UAM01,BS12,18600.11503313243,-89.90874394974054,-114.67995649693717,False
1416.0,UAM01,BS13,9691.783304333554,-83.68028138363692,-108.45149393083355,False
1416.0,UAM01,BS14,9413.699856064806,-83.40212772644168,-108.1733402736383,False
1416.0,UAM01,BS15,6022.903030636066,-79.13512924961427,-103.90634179681089,False
1416.0,UAM01,BS16,2446.711741952769,-70.52822182293077,-95.2994343701274,True
1416.0,UAM01,BS17,7805.630304041432,-81.61237560404366,-106.38358815124029,False
1416.0,UAM01,BS18,8286.95912069424,-82.18409440945898,-106.9553069566556,False
1417.0,UAM01,BS01,60628.273482205324,-101.19825450785991,-125.96946705505654,False
1417.0,UAM01,BS02,57843.55070037297,-100.74900885640103,-125.52022140359766,False
1417.0,UAM01,BS03,57720.283620281545,-100.72862612796978,-125.4998386751664,False
1417.0,UAM01,BS04,53213.807103990395,-99.95193536871331,-124.72314791590993,False
1417.0,UAM01,BS05,43815.21815072262,-98.09514961008632,-122.86636215728295,False
1417.0,UAM01,BS06,38877.317491580725,-96.9527184945426,-121.72393104173922,False
1417.0,UAM01,BS07,35167.74415347782,-95.99457933417459,-120.76579188137121,False
1417.0,UAM01,BS08,34803.41510873568,-95.8950810392459,-120.66629358644252,False
1417.0,UAM01,BS09,31158.400570242604,-94.8380535247574,-119.60926607195402,False
1417.0,UAM01,BS10,21969.722872673734,-91.49954081899851,-116.27075336619514,False
1417.0,UAM01,BS11,19705.61123558678,-90.4603781179335,-115.23159066513013,False
1417.0,UAM01,BS12,18649.981307946622,-89.9343249058764,-114.70553745307302,False
1417.0,UAM01,BS13,9741.748175072053,-83.72941186110383,-108.50062440830045,False
